"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000119048.9",4080.49035261111,0.165345938522871,0.105914873054118,1.56112105651477,0.118495190753419,0.562245061817075,"UBE2B"
"ENSG00000271447.6",6.40898730933891,1.22468218765706,0.784518617301884,1.56106198202024,0.118509127159355,NA,"MMP28"
"ENSG00000112837.17",242.665954170248,-0.715242531516961,0.458222447868676,-1.56090679285521,0.118545744331412,0.562245061817075,"TBX18"
"ENSG00000112655.16",15157.4833085587,0.119207236195292,0.0763732169120964,1.56085131692824,0.118558836131857,0.562245061817075,"PTK7"
"ENSG00000165832.6",4923.29571679406,0.159433205006834,0.10214544745549,1.56084494197656,0.118560340633511,0.562245061817075,"TRUB1"
"ENSG00000153233.13",41.5708639855848,-0.488650250528552,0.313087709590745,-1.56074555327418,0.11858379850699,0.562245061817075,"PTPRR"
"ENSG00000287104.2",71.0323170829988,-0.387929419203349,0.24855854290683,-1.56071650029249,0.118590656323487,0.562245061817075,"ENSG00000287104"
"ENSG00000135960.10",424.583289846209,0.181458071153624,0.11628217822211,1.56049769558859,0.118642314111165,0.562360188921473,"EDAR"
"ENSG00000187135.8",3.02816874823612,-1.8435044394652,1.18173655956893,-1.55999611295572,0.118760799757648,NA,"VSTM2B"
"ENSG00000137726.17",1768.20901511748,-0.584131371451535,0.374464173290026,-1.55991257139336,0.118780543253905,0.562885513279115,"FXYD6"
"ENSG00000255274.10",7.21710657307916,-1.10210655840124,0.706527851716324,-1.5598911716275,0.118785601104979,NA,"SMIM35"
"ENSG00000065413.20",68.6056125943408,-0.38377396707836,0.246073368817859,-1.55959163286144,0.118856415045184,0.563115160118362,"ANKRD44"
"ENSG00000236044.1",2.95520206069547,1.80640209457888,1.15837680192126,1.55942530235656,0.118895751516859,NA,"FABP5P2"
"ENSG00000148835.12",1475.78356640558,-0.139334881727517,0.0893536896212864,-1.55936349487155,0.118910371330043,0.563240894220215,"TAF5"
"ENSG00000090581.11",1293.46946655281,0.150301996707073,0.0964140970881053,1.55892137401571,0.119014990768218,0.563542926978985,"GNPTG"
"ENSG00000174456.16",1175.43155856972,0.141733968388045,0.0909214227895466,1.55886219154437,0.119029000640696,0.563542926978985,"C12orf76"
"ENSG00000279569.1",4.4758732431213,-1.55868078361534,0.999934899893968,-1.55878226050578,0.119047924235141,NA,"ENSG00000279569"
"ENSG00000236496.2",2.5526803745236,-2.08463085774413,1.33742261578675,-1.55869269230043,0.11906913222082,NA,"GPS2P1"
"ENSG00000203760.9",1451.60379807569,0.142827241332309,0.0916434211376311,1.55851057892971,0.119112262208683,0.563604332930737,"CENPW"
